,X_sentences,Y,Y_decision,Y_confidence
37,"Agreed, and why is the majority of the food in Canada Kosher? We dont need any religious person blessing are food!",0,-7.673294508464442,7.673294508464442
10,"For me, Pope Francis is lending credibility to the Church as one may, if he or she so wishes, perceive the work of the Holy Spirit in his words and actions. This does not mean that everyone must accept uncritically everything he says because he said it. It is more a matter of spiritual discernment. The search for certitude in Canon law is doomed to failure. 
    If one reads the words of Jesus in the Gospels he explicitly says that His teaching on marriage is for those to whom it is given-not everyone can accept it. Those who can, do. Uta Rankh Heinemann, a German theologian who took the Church to task for its historical denigration of marriage in EUNUCHS FOR THE KINGDOM OF GOD has suggested this very thing, which is a credible reading of the Gospel text instead of assuming that it refers to making oneself a eunuch as Origen took to extremes with self-castration. No-one in authority has accused him of sinning against nature by so doing. They well might do so.",0,-7.4616287179767475,7.4616287179767475
39,"Again, you are dead wrong. This ""chapter"" shouldn't be closed until these slimy bastards are held accountable and have paid the proper penalties for this travesty. To defend the players or any part of this debacle or to try to divert attention elsewhere makes you no better than them.",1,-7.293088944609785,7.293088944609785
42,".
Judah: I agree with your assessment of Ohio Dan.  But, of course, it doesn't take cojones to stand up to Trump & McConnell & the GOP's ""leaders"" -- it just takes a spine.
.

In the Senate's recent vote of life&death importance to so many people, the only GOP-ers who stood up for their constituents were two WOMEN and, of course, fearless McCain (a Veteran whose wartime heroism was so appallingly dissed & ridiculed by 'our' draft-dodging Twit-in-Chief).
.

P.S.: While Senator Susan Collins won't waiver under future threats (or career-advancement promises) from Mr.T, from GOP ""leaders"" or from Koch superPAC$, I have no such confidence in Murkowski. Her history & duplicity strongly suggest that her #1 goal will always be to promote her personal political ambitions No Matter How Much Deceit It Takes every 6 years. Her sense of entitlement can override any trace of ethics & any unlikely impulse to speak w/o her usual platitudes & doublespeak when campaigning here as a pretend-independent.",1,-6.411695378789386,6.411695378789386
20,"and what were the appointments in the motel with BB about? Bring Bible because they were having a little private Bible Study during the ""appointment""",0,-6.31373993182768,6.31373993182768
7,"Don,  did Jesus condone Adultery, Abortion, marriage between a man/man or woman/woman? Did God make a man in his image,  who would later decide for himself that he should now be woman?  Did Jesus tell us since he is an all loving God, that everyone will go to heaven, and that Hell is empty?  Did Jesus condone cohabitation and sexual relations outside of marriage?    With all your prior seminary training I hope you can clear up those simple questions for this simple minded Pharisee?",0,-6.085903757325521,6.085903757325521
19,Way too long and detailed for anyone to read...get a clue.,0,-5.834219092416598,5.834219092416598
24,"Plain silly comment.   Coach Robyn is dressed appropriately and neatly for her job.  Your comment on attire is inappropriate as it has nothing to do with her accomplishments or coaching job/ability.  (Do you know anything about volleyball - I am guessing not).  Apply the same dress standard for any male coach, and see if anybody gives a hoot.  This should be a non-issue.  Unfortunately, this type of inane comment should have no bearing on her ability, but gain attention because its simply ludicrous in this day and age.  Go BOWS!",1,-5.262214483789982,5.262214483789982
23,Was the Pig wearing one of its made in China ties as it read the speech yesterday?,1,-5.214049360445253,5.214049360445253
43,"It isn’t about her views on religion.
And it isn’t about her opinion on AGW/climate change.
It’s that she has the arrogance to publicly air her views, the ignorance to think that it is proper for a GG to do so, and the conceit to sneer at those whose opinions differ.",0,-5.066571363165421,5.066571363165421
